id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width,movement
1,Manaò tupapaú,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20-%20Mana%C3%B2%20tupapa%C3%BA%20%28Spirit%20of%20the%20Dead%20Watching%29%20-%201965-1%20-%20Albright%E2%80%93Knox%20Art%20Gallery.tiff,Paul Gauguin,1892,oil paint,Buffalo AKG Art Museum,Buffalo AKG Art Museum,Tahiti,28.75,92.4,primitivism
2,Virgin of the Councillors,http://commons.wikimedia.org/wiki/Special:FilePath/Dalmau%20Mare%20de%20Deu%20dels%20Consellers.jpg,Lluís Dalmau,1445,oak panel,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,311.0,311.5,Gothic painting
3,The Peasant Wedding,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Peasant%20Wedding%20-%20Google%20Art%20Project.jpg,Pieter Brueghel the Elder,1568,oil paint,Kunsthistorisches Museum,Q820370,Unknown,113.0,164.0,Northern Renaissance
4,The Blue Boy,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Gainsborough%20-%20The%20Blue%20Boy%20%28c.%201770%29.jpg,Thomas Gainsborough,1770,oil paint,"The Huntington Library, Art Museum, and Botanical Gardens","The Huntington Library, Art Museum, and Botanical Gardens",England,179.4,123.8,Romanticism
5,Madonna with the Long Neck,http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%20-%20Madonna%20and%20Child%20with%20Angels%2C%20known%20as%20the%20Madonna%20with%20the%20Long%20Neck.jpg,Parmigianino,1530,panel,Uffizi Gallery,Uffizi Gallery,Unknown,219.0,132.0,Mannerism
6,Columba Triptych,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20Dreik%C3%B6nigsaltar%20Rogier%20van%20der%20Weyden.jpg,Rogier van der Weyden,1453,oil paint,Bavarian State Painting Collections,"Alte Pinakothek, upper floor, gallery I",Unknown,138.0,153.0,Early Netherlandish painting
7,Fiesole Altarpiece,http://commons.wikimedia.org/wiki/Special:FilePath/Angelico%2C%20pala%20di%20fiesole%2C%20full.jpg,Lorenzo di Credi,1520,gilt paint,convent of San Domenico,convent of San Domenico,Unknown,212.0,237.0,Italian Renaissance
8,The Seine at Bougival,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20018.jpg,Alfred Sisley,1876,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,45.0,61.0,Impressionism
9,Saint Sebastian,http://commons.wikimedia.org/wiki/Special:FilePath/Antonello%20da%20Messina%20-%20St.%20Sebastian%20-%20Google%20Art%20Project.jpg,Antonello da Messina,1478,panel,Staatliche Kunstsammlungen Dresden,Italy,Unknown,171.0,85.5,Early Renaissance
10,Nocturne: Blue and Silver – Chelsea,http://commons.wikimedia.org/wiki/Special:FilePath/James%20McNeill%20Whistler%20-%20Nocturne%20en%20bleu%20et%20argent.jpg,James McNeill Whistler,1871,panel,Tate,Tate Britain,London,50.2,60.8,Tonalism
11,The Holy Family with Saint John the Baptist,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Holy%20Family%20with%20St.%20John%20the%20Baptist%20%28Met%29.jpg,Caravaggio,1600,oil paint,http://www.wikidata.org/.well-known/genid/1555cdeac4c090dc8c7894f3da846e8d,The Met Fifth Avenue,Unknown,116.0,94.0,Italian Baroque painting
12,American Gothic,http://commons.wikimedia.org/wiki/Special:FilePath/Grant%20Wood%20-%20American%20Gothic%20%281930%29.jpg,Grant Wood,1930,oil paint,Art Institute of Chicago,Art Institute of Chicago,Unknown,78.0,65.3,Regionalism
13,Christ Washing the Disciples' Feet,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Lavatorio%20%28Tintoretto%29.jpg,Jacopo Tintoretto,1548,oil paint,Museo del Prado,San Marcuola,Unknown,210.0,533.0,Mannerism
14,The Vale of Rest,http://commons.wikimedia.org/wiki/Special:FilePath/Millais%20-%20Das%20Tal%20der%20Stille.jpg,John Everett Millais,1858,oil paint,National Gallery,Tate Britain,Unknown,102.9,172.7,Pre-Raphaelite Brotherhood
15,The Garden of Earthly Delights,http://commons.wikimedia.org/wiki/Special:FilePath/Jheronimus%20Bosch%20023.jpg,Hieronymus Bosch,1490,oil paint,Museo del Prado,Museo del Prado,Unknown,205.5,384.9,Early Netherlandish painting
16,Madonna of the Rose Bower,http://commons.wikimedia.org/wiki/Special:FilePath/Stefan%20Lochner%20Madonna%20im%20Rosenhag.jpg,Stefan Lochner,1440,fond d'or,Wallraf–Richartz Museum,Wallraf–Richartz Museum,Cologne,50.2,39.6,Gothic art
17,Garden at Sainte-Adresse,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Jardin%20%C3%A0%20Sainte-Adresse.jpg,Claude Monet,1867,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,98.1,129.9,Impressionism
18,The Fall of the Damned,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20-%20Fall%20of%20the%20damned.jpg,Peter Paul Rubens,1621,panel,Electoral Gallery Dusseldorf,Alte Pinakothek,Unknown,286.0,224.0,Baroque
19,Antea,http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%20-%20Portrait%20of%20a%20young%20woman%20called%20Antea.jpg,Parmigianino,1535,oil paint,Museo di Capodimonte,Museo di Capodimonte,Unknown,136.0,86.0,High Renaissance
20,The Return of Spring,http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825-1905%29%20-%20Return%20of%20Spring%20%281886%29.jpg,William-Adolphe Bouguereau,1886,oil paint,Joslyn Art Museum,Joslyn Art Museum,Unknown,79.25,46.375,academic art
21,Allegory of the Catholic Faith,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%2C%20Allegory%20of%20the%20Catholic%20Faith%2C%20The%20Metropolitan%20Museum%20of%20Art.jpg,Johannes Vermeer,1670,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,114.3,88.9,Dutch Golden Age painting
22,The Holy Family,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20Holy%20Family%20below%20the%20Oak.jpg,Raphael,1518,oil paint,Museo del Prado,Museo del Prado,Unknown,144.0,110.0,High Renaissance
23,Miraflores Altarpiece,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20Miraflores-Altar%2C%20Marienaltar%2C%20Miraflores-Altar%20-%20Gem%C3%A4ldegalerie%20Berlin%20-%204009118.jpg,Rogier van der Weyden,1443,oil paint,Gemäldegalerie Berlin,"Paintings in the Gemäldegalerie, Berlin - Room IV",City of Brussels,71.0,43.0,Early Netherlandish painting
24,The Procuress,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20The%20Procuress%20-%20Google%20Art%20Project.jpg,Johannes Vermeer,1656,oil paint,Staatliche Kunstsammlungen Dresden,Gemäldegalerie Alte Meister,Unknown,143.0,130.0,Dutch Golden Age painting
25,Mademoiselle V. . . in the Costume of an Espada,http://commons.wikimedia.org/wiki/Special:FilePath/Mademoiselle%20V.%20.%20.%20in%20the%20Costume%20of%20an%20Espada%20MET%20DT859.jpg,Édouard Manet,1862,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,165.1,127.6,Q125731576
26,The Seven Sacraments,http://commons.wikimedia.org/wiki/Special:FilePath/Rogier%20van%20der%20Weyden%20-%20De%20Zeven%20Sacramenten%20-%20393-395%20-%20Royal%20Museum%20of%20Fine%20Arts%20Antwerp.jpg,Rogier van der Weyden,1440,panel,Royal Museum of Fine Arts Antwerp,Royal Museum of Fine Arts Antwerp,Tournai,200.0,223.0,Early Netherlandish painting
