id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
1173,The Madonna and Child (The Mackintosh Madonna),http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20Mackintosh%20Madonna.JPG,Raphael,1509,oil paint,National Gallery,National Gallery,Unknown,78.8,64.2
310,Dancers,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20Dancers%201916.jpg,Theo van Doesburg,1916,oil paint,Kröller-Müller Museum,Kröller-Müller Museum,Unknown,48,30
210,Portrait of Pope Pius VII,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20018.jpg,Jacques-Louis David,1805,oil paint,Department of Paintings of the Louvre,Room 702,Tuileries Palace,86.5,71.5
364,The Wine Glass,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20-%20The%20Glass%20of%20Wine%20-%20Google%20Art%20Project.jpg,Jan Vermeer van Haarlem the Elder,1659,canvas,Gemäldegalerie Berlin,Gemäldegalerie Berlin,Unknown,67.7,79.6
141,Minerva Protects Pax from Mars,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20peace-war.jpg,Peter Paul Rubens,1629,canvas,National Gallery,National Gallery,Unknown,203.5,298
913,Unfinished Portrait of General Bonaparte,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20011.jpg,Jacques-Louis David,1797,oil paint,Department of Paintings of the Louvre,Room 714,Unknown,81,65
406,The Victim of the Fiesta,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Zuloaga%20y%20Zabaleta%20-%20The%20Victim%20of%20the%20Fiesta%20-%20A2010%20-%20Hispanic%20Society%20of%20America.jpg,Ignacio Zuloaga,1910,canvas,Hispanic Society of America,Hispanic Society of America,Unknown,284.4,344.1
200,Guernica,http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20del%20%22Guernica%22%20de%20Picasso.jpg,Pablo Picasso,1937,oil paint,Museo Nacional Centro de Arte Reina Sofía,Museo Nacional Centro de Arte Reina Sofía,Paris,349,776
454,The Blind Girl,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Everett%20Millais%20-%20The%20Blind%20Girl%2C%201854-56.jpg,John Everett Millais,1856,canvas,Birmingham Museums Trust,Birmingham Museum and Art Gallery,Unknown,82.6,62.2
366,The Wine Glass,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20-%20The%20Glass%20of%20Wine%20-%20Google%20Art%20Project.jpg,Johannes Vermeer,1659,canvas,Gemäldegalerie Berlin,Gemäldegalerie Berlin,Unknown,67.7,79.6
